ground_x [mm],ground_y [mm],ground_t [mm],height [mm],top_w [mm],base_w [mm],neck_w [mm],shoulder_h [mm],feed_gap [mm],blade_t [mm],separation [mm],Freq [GHz],Phi [deg],Theta [deg],im(rEPhi) (Real) [mV],im(rEPhi) (Imag) [mV],im(rETheta) (Real) [mV],im(rETheta) (Imag) [mV],re(rEPhi) (Real) [mV],re(rEPhi) (Imag) [mV],re(rETheta) (Real) [mV],re(rETheta) (Imag) [mV]
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,0.0,2.3004337252043316,0.0,517.9638979284465,0.0,-5.032044924901613,0.0,-453.7937870776164,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,2.5,4.10432430800732,0.0,552.0706263761332,0.0,-4.159681772470974,0.0,-332.38567594556855,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,5.0,5.280909928816205,0.0,530.9540820837766,0.0,-2.3675612145384326,0.0,-149.72948811498892,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,7.499999999999999,5.5610819148307895,0.0,465.66912562942406,0.0,-0.24372898759297823,0.0,90.0357290610433,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,10.0,4.954900569181575,0.0,366.03492853048033,0.0,1.6212104886769996,0.0,363.10546166415384,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,12.5,3.717115146715688,0.0,238.996436207443,0.0,2.8472457383504346,0.0,627.7323990094341,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,14.999999999999998,2.223274810026654,0.0,89.24371949362506,0.0,3.363892626682061,0.0,833.2330434562803,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,17.5,0.8189986319150355,0.0,-78.64760565184486,0.0,3.3631809972012636,0.0,933.2914535176321,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,20.0,-0.2865191762117525,0.0,-257.75538419612667,0.0,3.145538738781428,0.0,898.9392110353471,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,22.5,-1.0402666105037706,0.0,-437.1947947503951,0.0,2.944991081008985,0.0,726.8448280422156,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,25.0,-1.4849689776310904,0.0,-602.074704697157,0.0,2.821634768050807,0.0,440.42464098781767,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,27.5,-1.6666183408165294,0.0,-735.129607119473,0.0,2.6667913398403242,0.0,83.88294079356011,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,29.999999999999996,-1.5698752784683787,0.0,-819.5528200083936,0.0,2.3045576901521425,0.0,-288.471216769961,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,32.5,-1.1187571230483055,0.0,-842.1982367336101,0.0,1.6259254383140935,0.0,-624.1593109596996,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,35.0,-0.23865313555898604,0.0,-796.2524642511701,0.0,0.68127227556938,0.0,-882.4358665459534,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,37.5,1.0599803998143393,0.0,-682.6842960049657,0.0,-0.31480150169237325,0.0,-1040.0406573293476,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,40.0,2.62689370005717,0.0,-510.15973478742023,0.0,-1.0643313016437117,0.0,-1092.2300967701178,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,42.5,4.179837924488838,0.0,-293.53694912525214,0.0,-1.3092110549111773,0.0,-1049.8652846307366,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,45.0,5.375297002884429,0.0,-51.39829432156628,0.0,-0.9379941014795723,0.0,-934.1286781136453,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,47.5,5.912191890082335,0.0,196.75217975518842,0.0,-0.031366915658803673,0.0,-770.6063894081742,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,0.0,50.0,5.62550990727825,0.0,433.0212192074305,0.0,1.1667444252314862,0.0,-584.146734645237,0.0
